Account,Followers,Quality_Audience,ER,Est_Post_Price,Avg_Reels_View,Category,Interests,Turkey,Comment_Rate,Score,Sponsored_Reels_View,Campaign_Reach,Performance_Ratio,Cost_Per_Reach,Link_Clicks,Cost_Per_Click,Actual_Campaign_Cost
carsimardin47,6760,5519,7.647929,45.0,10552,"Football & Soccer, Politics, Volleyball, American Football, Political Leaders, Handball, Rugby, Cricket, Baseball, Social Issues","Politics : 88%, Football & Soccer : 88%, American Football : 85%, Social Issues : 81%, Baseball : 81%, Volleyball : 73%, Film & Television : 70%, Basketball : 66%, Entertainment : 57%, Business and Careers : 42%, Theater : 38%, Finance & Accounting : 36%, Music : 31%, Technology & Gadgets : 31%, Ice Hockey : 30%, Dance : 29%, Traveling : 29%, Fashion : 28%, Unboxings : 28%, Stand-up Comedy : 27%, Motorcycles : 26%, Religion : 26%, Automobiles : 25%, Philanthropy & Charity : 25%, Beauty : 20%",62,0.25,90,,,,,,,
medyaadanaspor,6183,5494,9.485687,45.0,4514,"Politics, Political Leaders, Social Issues, Government, Sales & Marketing, Social Organisations, Startups, Political Shows, Internet of Things, Social Studies Education","Politics : 86%, Social Issues : 85%, Film & Television : 71%, Entertainment : 55%, Business and Careers : 52%, Theater : 41%, Unboxings : 39%, Fashion : 39%, Finance & Accounting : 36%, Traveling : 28%, Philanthropy & Charity : 28%, Religion : 27%, Dance : 27%, Beauty : 26%, Music : 26%, Football & Soccer : 26%, Technology & Gadgets : 25%, Parenting & Relationships : 24%, Health & Medicine : 22%, Educational : 21%, Modeling : 20%",85,0.09,80,,,,,,,
zumbawithozge,7087,5430,5.622972,45.0,6777,"Makeup, Beauty Tips & Hacks, Beauty, Beauty Tutorials, Haircare, Beauty Health, Hair Health, Actors or Actress, Skincare, Adult Modelling","Beauty : 65%, Fashion : 65%, Entertainment : 56%, Makeup : 49%, Film & Television : 48%, Dance : 41%, Modeling : 40%, Skincare : 38%, Traveling : 37%, Theater : 33%, Haircare : 32%, Politics : 30%, Nail Care : 29%, Unboxings : 28%, Luxury : 28%, Music : 26%, Social Issues : 26%, Stand-up Comedy : 24%",69,0.34,90,,,,,,,
chalalalaa_,7927,5419,7.285228,55.0,17812,Makeup,"Beauty : 80%, Makeup : 73%, Fashion : 66%, Nail Care : 60%, Skincare : 59%, Haircare : 54%, Modeling : 43%, Film & Television : 35%, Entertainment : 35%, Luxury : 29%, Unboxings : 29%, Politics : 25%, Traveling : 25%, Theater : 24%, Dance : 24%",79,0.23,90,,,,,,,
psikologbeyzabusra,6560,5413,4.992378,45.0,7112,"Mental Health, Religious Organizations, Religion & Spirituality, Love & Intimacy, Medical Research, Personal Development, Meditation, Medical Education, Psychology, Medicine","Social Issues : 72%, Politics : 72%, Religion : 59%, Business and Careers : 47%, Film & Television : 46%, Meditative Practices : 43%, Health & Medicine : 40%, Unboxings : 38%, Parenting & Relationships : 37%, Traveling : 31%, Philanthropy & Charity : 31%, Fashion : 30%, Educational : 30%, Beauty : 30%, Finance & Accounting : 30%, Entertainment : 24%, Makeup : 22%, Skincare : 22%, Yoga : 21%, Theater : 20%",69,0.08,80,,,,,,,
ramazanayvallifan,7855,5386,7.281986,55.0,6539,"Religious Organizations, Religion & Spirituality, Christianity, Pastor, Love & Intimacy, Mental Health, Church, Political Leaders, Social Issues, Romantic Relationships & Dating","Social Issues : 97%, Politics : 96%, Religion : 76%, Film & Television : 72%, Business and Careers : 53%, Unboxings : 38%, Finance & Accounting : 35%, Philanthropy & Charity : 34%, Entertainment : 31%, Parenting & Relationships : 26%, Traveling : 25%, Meditative Practices : 24%, Theater : 23%, Health & Medicine : 22%, Educational : 20%, Football & Soccer : 20%",65,0.22,90,,,,,,,
forzasamsuncom,7699,5383,6.0917,55.0,7198,"Politics, Political Leaders, Football & Soccer, Political Shows, Social Issues, Social Organisations, Volleyball, Movies & TV Shows, Handball, Love & Intimacy","Politics : 82%, Social Issues : 79%, Film & Television : 72%, Entertainment : 66%, Football & Soccer : 58%, Theater : 48%, Volleyball : 47%, Baseball : 45%, American Football : 44%, Music : 35%, Business and Careers : 34%, Dance : 34%, Basketball : 33%, Unboxings : 28%, Religion : 27%, Traveling : 26%, Finance & Accounting : 26%, Fashion : 25%, Stand-up Comedy : 25%, Philanthropy & Charity : 20%",78,0.06,80,,,,,,,
yarennurpolat,7698,5367,5.274097,55.0,5969,Sports,"Running & Athletics : 73%, Grilling & BBQ : 69%, Pet Care : 64%, Baseball : 60%, Photography : 58%, Ecology : 52%, Traveling : 49%, Surfing : 49%, Sustainability : 47%, Tea : 42%, American Football : 40%, AI & Machine Learning : 37%, Beauty : 37%, Nutritious Foods : 36%, Basketball : 36%, Astrology : 33%, Social Issues : 33%, Coffee Culture : 33%, Science : 32%, Boxing : 32%, Haircare : 31%, Fitness & Bodybuilding : 29%, Yoga : 28%, Literature : 28%, Stand-up Comedy : 27%",62,0.08,80,,,,,,,
dr.talhatiryaki,6395,5367,6.810008,45.0,6854,"Child Health, Parenting Hacks & Tips, Motherhood, Family & Parenting, Newborn Care, Single Parenting, Women's Health, Blended Families, Health Issues, Kids Education","Health & Medicine : 60%, Parenting & Relationships : 56%, Social Issues : 45%, Unboxings : 40%, Yoga : 39%, Politics : 38%, Meditative Practices : 37%, Beauty : 37%, Skincare : 34%, Philanthropy & Charity : 32%, Children's Games & Toys : 32%, Fashion : 31%, Business and Careers : 31%, Film & Television : 28%, Haircare : 28%, Fitness & Bodybuilding : 28%, Makeup : 28%, Religion : 27%, Biology : 26%, Traveling : 24%, Luxury : 23%, Finance & Accounting : 23%, Nail Care : 22%, Entertainment : 21%, Educational : 21%",54,0.11,80,,,,,,,
carsikizi_aria_,7355,5353,18.03535,45.0,11605,Romantic Relationships & Dating,"Film & Television : 69%, Politics : 63%, Fashion : 61%, Traveling : 54%, Beauty : 48%, Social Issues : 47%, Entertainment : 42%, Modeling : 36%, Theater : 35%, Unboxings : 30%, Luxury : 26%, Makeup : 25%, Dance : 23%, Hiking & Trekking : 22%, Volleyball : 20%, Photography : 20%, Religion : 20%",66,0.21,80,,,,,,,
fatih.kocer,6413,5302,6.510214,45.0,7701,"Music, Headphones, Singer, Music Tour, Entertainment, Theater, Social Clubs, Pop Art, Standup, Political Shows","Entertainment : 84%, Theater : 79%, Music : 69%, Film & Television : 59%, Dance : 57%, Politics : 46%, Social Issues : 44%, Stand-up Comedy : 43%, Unboxings : 26%, Religion : 23%, Fashion : 21%, Traveling : 20%",71,0.6,80,,,,,,,
erenyildirimd,7904,5295,8.95749,55.0,14228,"Love & Intimacy, Romantic Relationships & Dating, Social Issues, Religion & Spirituality, Politics, Pastor, Social Organisations, Religious Organizations, Political Shows, Social Studies Education","Social Issues : 79%, Politics : 79%, Film & Television : 65%, Traveling : 43%, Religion : 42%, Entertainment : 39%, Fashion : 38%, Business and Careers : 38%, Unboxings : 37%, Parenting & Relationships : 30%, Theater : 30%, Beauty : 30%, Philanthropy & Charity : 29%, Hiking & Trekking : 26%, Health & Medicine : 24%, Finance & Accounting : 23%, Football & Soccer : 21%, Volleyball : 21%, Luxury : 21%, Modeling : 20%, Technology & Gadgets : 20%",65,0.17,80,,,,,,,
bna.knu,5899,5235,7.399559,40.0,5266,"Books, Kids Books, Astrology, Kids Education, Social Studies Education, Education, Language Learning","Literature : 87%, Educational : 79%, Astrology : 77%, Social Issues : 64%, Film & Television : 58%, Politics : 56%, Anime, Manga & Comics : 51%, History : 42%, Religion : 42%, Space & Astronomy : 28%, Entertainment : 23%, Unboxings : 23%, Children's Games & Toys : 21%",56,0.12,80,,,,,,,
selahattinmentes01,7891,5227,6.94462,55.0,69722,"Nonprofit Organizations, Social Organisations, Religious Organizations, Social Issues, Social Studies Education, Personal Development, Religion & Spirituality, Consulting, Mental Health, Politics","Politics : 88%, Social Issues : 86%, Business and Careers : 56%, Film & Television : 49%, Philanthropy & Charity : 49%, Finance & Accounting : 42%, Religion : 41%, Unboxings : 37%, Parenting & Relationships : 34%, Health & Medicine : 29%, Entertainment : 28%, Educational : 27%, Traveling : 27%, Fashion : 27%, Theater : 26%, Beauty : 26%, Meditative Practices : 26%, Football & Soccer : 24%, Hiking & Trekking : 20%",72,0.17,80,,,,,,,
prof.dr.cemalhan,6433,5218,6.715374,45.0,5006,"Personal Development, Mental Health, Medical Research, Love & Intimacy, Professional Associations, Sleep Health, Nonprofit Organizations, Health Issues, Career, Leadership & Motivation","Social Issues : 74%, Politics : 73%, Film & Television : 53%, Health & Medicine : 50%, Business and Careers : 49%, Fashion : 43%, Finance & Accounting : 42%, Unboxings : 40%, Traveling : 39%, Beauty : 34%, Parenting & Relationships : 33%, Volleyball : 33%, Entertainment : 32%, Yoga : 32%, Fitness & Bodybuilding : 32%, Theater : 32%, Religion : 31%, Football & Soccer : 30%, Philanthropy & Charity : 30%, Meditative Practices : 26%, Skincare : 25%, Dance : 25%, Hiking & Trekking : 25%, Luxury : 24%, Modeling : 23%",78,0.28,90,,,,,,,
hallehoussein,8158,5214,5.289287,55.0,7050,"Rugby, Football & Soccer, Sports, Handball, American Football, Baseball, Volleyball, Basketball, Cricket, Hockey","Volleyball : 100%, American Football : 98%, Football & Soccer : 96%, Baseball : 95%, Basketball : 94%, Ice Hockey : 86%, Politics : 61%, Tennis : 56%, Social Issues : 56%, Entertainment : 54%, Running & Athletics : 48%, Film & Television : 47%, Fashion : 37%, Dance : 36%, Stand-up Comedy : 33%, Theater : 32%, Business and Careers : 31%, Boxing : 31%, Wrestling : 31%, Motorsports : 29%, Fitness & Bodybuilding : 28%, Music : 27%, Beauty : 27%, Traveling : 24%, Snowboarding : 24%",40,0.19,80,,,,,,,
nurcanozdemirepsa,8452,5163,5.726455,55.0,9016,"Career, Political Leaders, Politics, Professional Associations, Consulting, Social Organisations, Nonprofit Organizations, Sales & Marketing, Leadership & Motivation, Government","Social Issues : 80%, Politics : 79%, Film & Television : 66%, Business and Careers : 63%, Finance & Accounting : 54%, Entertainment : 48%, Theater : 45%, Fashion : 40%, Beauty : 38%, Traveling : 34%, Philanthropy & Charity : 33%, Unboxings : 33%, Religion : 29%, Football & Soccer : 28%, Health & Medicine : 27%, Parenting & Relationships : 26%, Modeling : 26%, Makeup : 25%, Dance : 25%, Volleyball : 25%, Music : 24%, Educational : 24%, Skincare : 22%, Luxury : 21%, Haircare : 20%",79,0.08,80,,,,,,,
aydinnavsar,6266,5148,7.125758,45.0,5793,"Social Issues, Social Organisations, Religious Organizations, Social Studies Education, Religion & Spirituality, Political Leaders, Politics, Nonprofit Organizations, Love & Intimacy, Math & Engineering Education","Social Issues : 85%, Politics : 84%, Film & Television : 57%, Business and Careers : 51%, Philanthropy & Charity : 49%, Religion : 43%, Parenting & Relationships : 43%, Unboxings : 41%, Finance & Accounting : 41%, Health & Medicine : 31%, Entertainment : 30%, Meditative Practices : 28%, Theater : 28%, Fashion : 26%, Educational : 25%, Traveling : 25%, Beauty : 23%, Children's Games & Toys : 22%, Football & Soccer : 20%, Yoga : 20%",86,0.23,80,,,,,,,
pbequestrianapparel,6719,5137,6.258372,45.0,123960,"Outdoor Wear, Activewear, Streetwear, Shoes, Accessories, Workwear, Vintage Fashion, Fashion, Leatherworking","Snowboarding : 68%, Motorsports : 59%, Hiking & Trekking : 54%, Ecology : 48%, Skateboarding : 47%, Fashion : 36%, Running & Athletics : 35%, Motorcycles : 35%, Fitness & Bodybuilding : 29%, Pet Care : 23%, Outdoor Camping : 22%, Social Issues : 22%, Modeling : 21%, Traveling : 21%, Wrestling : 21%, Luxury : 20%, Stand-up Comedy : 20%, Beauty : 20%",68,0.06,80,,,,,,,
dianaduartee_,6956,5121,6.073893,45.0,26741,"Travel, Shopping & Fashion Travel, Travel Agencies, Romantic Relationships & Dating, Cultural & Historical Travel, Lingerie & Intimates, Luxury Fashion, Swimwear","Fashion : 83%, Traveling : 76%, Beauty : 70%, Modeling : 68%, Luxury : 50%, Makeup : 35%, Unboxings : 34%, Hiking & Trekking : 33%, Dance : 32%, Film & Television : 27%, Photography : 25%, Yoga : 23%, Fitness & Bodybuilding : 21%, Entertainment : 20%, Theater : 20%, Parenting & Relationships : 20%",51,0.33,80,,,,,,,
ibrahim.sngl,7035,5103,5.152807,45.0,7277,"Memes, Art, Pop Art, Chess, Art & Design, Shamanism, Tattoo Art, Social Studies Education, Social Issues, Language Learning","Social Issues : 86%, Politics : 85%, Film & Television : 67%, Religion : 47%, Entertainment : 39%, Anime, Manga & Comics : 32%, Unboxings : 29%, Literature : 29%, Technology & Gadgets : 28%, Business and Careers : 27%, Theater : 25%, Handicrafts : 24%, Football & Soccer : 22%",62,0.07,80,,,,,,,
saitegrilmez,5959,5087,10.630978,40.0,8100,"Political Shows, Singer, Headphones, Romantic Relationships & Dating, Movies & TV Shows, Entertainment, Theater, Church, Love & Intimacy, Music","Politics : 75%, Social Issues : 74%, Film & Television : 73%, Entertainment : 64%, Theater : 57%, Unboxings : 36%, Religion : 35%, Music : 33%, Business and Careers : 32%, Parenting & Relationships : 24%, Dance : 24%, Fashion : 24%, Beauty : 22%, Traveling : 22%, Philanthropy & Charity : 22%",81,0.29,90,,,,,,,
necatikaradayi,6931,5085,7.834367,45.0,5891,"Music, Music Tour, Headphones, Singer, Entertainment, Social Clubs, Theater, Standup, Dance, Pop Art","Entertainment : 91%, Music : 84%, Theater : 81%, Dance : 77%, Stand-up Comedy : 68%, Film & Television : 45%, Social Issues : 29%, Politics : 26%, Fashion : 25%",74,0.22,90,,,,,,,
dr.mustafacukurlu,6502,5061,4.690864,45.0,8762,"Medical Research, Alternative Medicine, Women's Health, Health Issues, Medicine, Health & Medicine, Medical Education, Mental Health, Neuroscience, Yoga","Health & Medicine : 73%, Yoga : 69%, Fitness & Bodybuilding : 67%, Physics : 44%, Social Issues : 43%, Traveling : 40%, Politics : 40%, Fashion : 39%, Meditative Practices : 36%, Wrestling : 33%, Beauty : 33%, Biology : 33%, Unboxings : 32%, Film & Television : 32%, Skincare : 32%, Parenting & Relationships : 30%, Hiking & Trekking : 29%, Volleyball : 26%, Business and Careers : 25%, Makeup : 25%, Science : 24%, Entertainment : 23%, Luxury : 22%, Theater : 22%, Modeling : 22%",66,0.08,80,,,,,,,
mrandacgunay,7172,5048,5.87005,55.0,7067,"Travel Agencies, Travel, Cultural & Historical Travel, Romantic Relationships & Dating, Love & Intimacy, Climate Change, Solar Power, Social Issues, Relocation, Social Clubs","Traveling : 58%, Fashion : 58%, Social Issues : 56%, Film & Television : 51%, Beauty : 51%, Entertainment : 43%, Politics : 43%, Theater : 41%, Hiking & Trekking : 41%, Dance : 33%, Unboxings : 32%, Modeling : 32%, Luxury : 30%, Makeup : 28%, Business and Careers : 28%, Parenting & Relationships : 26%, Music : 25%, Health & Medicine : 25%, Skincare : 23%, Religion : 21%, Ecology : 20%, Stand-up Comedy : 20%, Outdoor Camping : 20%, Photography : 20%, Yoga : 20%",44,0.06,80,,,,,,,
esra_yasaroglu,6281,5025,12.816431,45.0,1137,"Motherhood, Family & Parenting, Toddler Activities, Single Parenting, Children Wear, Blended Families, Kids","Fashion : 57%, Parenting & Relationships : 57%, Unboxings : 46%, Beauty : 42%, Children's Games & Toys : 38%, Modeling : 35%, Traveling : 32%, Luxury : 31%, Social Issues : 31%, Film & Television : 28%, Entertainment : 26%, Politics : 26%, Health & Medicine : 25%, Dance : 25%, Philanthropy & Charity : 24%, Makeup : 23%, Theater : 23%, Skincare : 22%, Business and Careers : 22%, DIY Projects : 20%, Stand-up Comedy : 20%",74,0.32,90,,,,,,,
senagoksell,6537,5013,28.162766,45.0,52774,"Music, Music Tour, Headphones, Singer, Entertainment, Social Clubs","Music : 96%, Entertainment : 93%, Stand-up Comedy : 89%, Dance : 88%, Theater : 83%, Film & Television : 30%",75,1.84,80,,,,,,,
sevketdogular,6482,5005,8.114779,45.0,7154,"Health Issues, Medical Education, Medical Research, Mental Health, Child Health, Health & Medicine, Medicine, Personal Development, Women's Health, Alternative Medicine","Health & Medicine : 71%, Yoga : 64%, Fitness & Bodybuilding : 58%, Social Issues : 52%, Meditative Practices : 50%, Politics : 45%, Parenting & Relationships : 45%, Business and Careers : 43%, Fashion : 41%, Film & Television : 36%, Beauty : 34%, Unboxings : 34%, Traveling : 33%, Finance & Accounting : 32%, Biology : 32%, Philanthropy & Charity : 31%, Religion : 30%, Physics : 30%, Skincare : 28%, Volleyball : 28%, Entertainment : 27%, Theater : 26%, Dance : 25%, Hiking & Trekking : 25%, Wrestling : 24%",72,0.27,80,,,,,,,
dt.elifbusra,7187,5002,4.876861,45.0,23205,"Love & Intimacy, Romantic Relationships & Dating","Fashion : 67%, Politics : 62%, Traveling : 60%, Beauty : 53%, Social Issues : 50%, Unboxings : 45%, Film & Television : 44%, Modeling : 43%, Luxury : 43%, Parenting & Relationships : 28%, Health & Medicine : 28%, Makeup : 27%, Theater : 27%, Hiking & Trekking : 27%, Business and Careers : 27%, Entertainment : 27%, Skincare : 25%, Photography : 22%, Haircare : 20%",67,0.07,80,,,,,,,
buslendik,6275,4999,6.446215,45.0,15143,"Shopping & Fashion Travel, Travel Agencies, Travel, Climate Change, Cultural & Historical Travel, Weather & Climate, Romantic Relationships & Dating, Love & Intimacy, Beautiful Nature, Hiking & Trekking","Fashion : 51%, Traveling : 48%, Politics : 44%, Beauty : 40%, Film & Television : 40%, Unboxings : 35%, Social Issues : 32%, Luxury : 28%, Hiking & Trekking : 27%, Modeling : 22%, Entertainment : 22%, Parenting & Relationships : 22%, Makeup : 20%",65,0.07,80,,,,,,,
dekadansofficial,7143,4981,8.140837,45.0,4242,"Music, Music Tour, Singer, Headphones, Entertainment, Theater, Dance, Social Clubs, Pop Art, Standup","Entertainment : 96%, Music : 94%, Dance : 91%, Theater : 85%, Stand-up Comedy : 84%, Film & Television : 38%",74,0.24,80,,,,,,,
unimoto_,6155,4927,7.327376,45.0,39588,"Motorbikes, Cars, Vehicles, Electric Cars, Bicycles, Cycling","Automobiles : 102%, Motorsports : 102%, Motorcycles : 99%, Skateboarding : 95%, Technology & Gadgets : 87%, Snowboarding : 61%, Politics : 61%, Film & Television : 47%, Social Issues : 44%, Entertainment : 25%, Football & Soccer : 23%, AI & Machine Learning : 22%, Aviation : 22%",69,0.59,90,,,,,,,
cinarender,6081,4907,6.043414,40.0,24896,"Politics, Political Leaders, Political Shows, Social Issues, Social Organisations, Government, Social Studies Education, Movies & TV Shows, Career, Consulting","Social Issues : 98%, Politics : 95%, Film & Television : 86%, Religion : 51%, Entertainment : 51%, Business and Careers : 43%, Philanthropy & Charity : 39%, Theater : 37%, Finance & Accounting : 33%, Football & Soccer : 25%, Unboxings : 22%, Educational : 20%, Parenting & Relationships : 20%",75,0.12,80,,,,,,,
busraozdemirtr,6135,4885,6.128769,40.0,6290,"Politics, Political Leaders, Social Organisations, Social Issues, Social Studies Education, Religious Organizations, Nonprofit Organizations, Political Shows, Consulting, Career","Social Issues : 95%, Politics : 93%, Film & Television : 72%, Business and Careers : 59%, Philanthropy & Charity : 48%, Religion : 47%, Entertainment : 44%, Finance & Accounting : 43%, Theater : 36%, Football & Soccer : 31%, Unboxings : 30%, Educational : 26%, Parenting & Relationships : 24%, Traveling : 24%, Fashion : 24%, Volleyball : 21%, Beauty : 21%, Health & Medicine : 20%",83,0.09,80,,,,,,,
drfiratselvi,6190,4877,6.308562,40.0,3407,Dentistry,"Politics : 68%, Social Issues : 68%, Business and Careers : 48%, Health & Medicine : 40%, Philanthropy & Charity : 40%, Unboxings : 39%, Finance & Accounting : 38%, Film & Television : 35%, DIY Projects : 33%, Parenting & Relationships : 28%, Religion : 28%, Theater : 28%, Handicrafts : 27%, Skincare : 27%, Entertainment : 27%, Fashion : 27%, Beauty : 25%, Meditative Practices : 24%, Football & Soccer : 24%, Nail Care : 24%, Traveling : 24%, Educational : 23%, Volleyball : 23%, Haircare : 23%, Makeup : 22%",63,0.07,80,,,,,,,
bayrasa,7844,4850,6.240439,55.0,474411,"Music, Entertainment, Headphones, Singer, Music Tour, Theater, Pop Art, TV Show, Dance","Entertainment : 93%, Music : 88%, Theater : 85%, Dance : 79%, Stand-up Comedy : 71%, Film & Television : 40%",70,0.32,80,,,,,,,
muratmah,6770,4847,4.50517,45.0,143208,"Political Shows, Social Clubs, Headphones, Theater, Entertainment, Political Leaders, Romantic Relationships & Dating, Movies & TV Shows, Social Issues, Singer","Film & Television : 66%, Entertainment : 64%, Theater : 64%, Politics : 56%, Social Issues : 56%, Traveling : 45%, Dance : 41%, Music : 41%, Fashion : 40%, Unboxings : 31%, Beauty : 30%, Modeling : 29%, Stand-up Comedy : 29%, Luxury : 27%, Photography : 26%, Hiking & Trekking : 26%, Business and Careers : 23%, Volleyball : 21%, Parenting & Relationships : 21%, Religion : 20%, Health & Medicine : 20%",74,0.06,80,,,,,,,
kasedjin,5849,4846,5.214567,40.0,6936,"Politics, Social Issues, Political Shows, Political Leaders, Love & Intimacy, Romantic Relationships & Dating, Social Organisations, Religious Organizations, Religion & Spirituality, Movies & TV Shows","Politics : 87%, Social Issues : 86%, Film & Television : 77%, Religion : 46%, Entertainment : 44%, Unboxings : 38%, Business and Careers : 37%, Theater : 35%, Traveling : 31%, Fashion : 25%, Beauty : 25%, Parenting & Relationships : 23%, Philanthropy & Charity : 23%, Finance & Accounting : 22%",45,0.09,80,,,,,,,
lee__familyy,5830,4840,13.64494,45.0,8135,"Travel Agencies, Memes, Restaurants & Bars, Food Reviews, Desserts, Social Issues, Food & Beverages, Food, Sex & Sexuality, Cultural & Historical Travel","Politics : 61%, Film & Television : 59%, Fashion : 47%, Social Issues : 44%, Traveling : 42%, Beauty : 37%, Entertainment : 36%, Unboxings : 35%, Parenting & Relationships : 30%, Gastronomy : 23%, Nutritious Foods : 23%, Theater : 22%, Coffee Culture : 22%, Modeling : 22%, Makeup : 22%, Dining & Nightlife : 22%, Luxury : 21%, Technology & Gadgets : 20%",51,0.43,90,,,,,,,
mryildirimm,6412,4837,12.383032,45.0,156,"Haircare, Hair Health, Makeup, Beauty Tips & Hacks, Beauty Tutorials, Beauty Health, Skincare, Nails, Beauty, Barbershops","Makeup : 83%, Skincare : 79%, Beauty : 78%, Haircare : 77%, Nail Care : 74%, Fashion : 41%, Social Issues : 30%, Politics : 30%, Film & Television : 30%, Entertainment : 29%, Modeling : 24%, Unboxings : 23%, Traveling : 22%, Luxury : 22%, Health & Medicine : 21%",57,0.08,80,,,,,,,
osmanli_gumus_aksehir,6076,4834,5.077354,45.0,1595,"Accessories, Vintage Fashion, Jewelery, Sewing, Handbags, Jewellery Making, Shopping & Fashion Travel, Vintage & Antique, Luxury Fashion, Collectibles","Politics : 51%, Handicrafts : 49%, Unboxings : 48%, Luxury : 46%, Fashion : 45%, DIY Projects : 42%, Film & Television : 40%, Social Issues : 38%, Entertainment : 33%, Theater : 28%, Technology & Gadgets : 27%, Traveling : 27%, Modeling : 26%, Children's Games & Toys : 24%, Beauty : 23%, Parenting & Relationships : 22%, Stand-up Comedy : 21%",67,4.72,90,,,,,,,
carsi1947,5982,4758,9.511869,40.0,7498,"Football & Soccer, Volleyball, Politics, Cricket, Handball, Rugby, American Football, Baseball, Political Shows, Sports","Football & Soccer : 77%, Politics : 76%, Volleyball : 75%, American Football : 72%, Baseball : 70%, Social Issues : 65%, Film & Television : 62%, Entertainment : 62%, Basketball : 62%, Theater : 48%, Ice Hockey : 36%, Dance : 36%, Music : 35%, Fashion : 33%, Business and Careers : 30%, Stand-up Comedy : 30%, Traveling : 29%, Unboxings : 28%, Beauty : 24%, Religion : 21%, Technology & Gadgets : 20%, Modeling : 20%, Finance & Accounting : 20%",80,0.1,80,,,,,,,
ertugrulcakirofficial,5838,4753,4.804728,40.0,108621,"Art, Art & Design, Painting, Digital Art, Street Art, 3D Printing, Collage, Ceramic Art, Sculpture, Pop Art","Handicrafts : 75%, Photography : 72%, Theater : 66%, DIY Projects : 62%, Architecture & Design : 52%, Film & Television : 48%, Entertainment : 46%, Literature : 42%, Anime, Manga & Comics : 41%, Politics : 33%, Social Issues : 32%, Unboxings : 31%, Fashion : 30%, Traveling : 29%, Music : 29%, Dance : 28%, Modeling : 25%, Property & Real Estate : 25%, Interior Design : 23%, Beauty : 22%, Hiking & Trekking : 21%",53,0.3,90,,,,,,,
sezginatc,5452,4726,14.187454,40.0,12672,"Running, Sports, Gym & Fitness, Rugby, Golf, Kids Sports, Basketball, Volleyball, Trail Running, Activewear","Running & Athletics : 80%, Motorsports : 79%, Fitness & Bodybuilding : 72%, Snowboarding : 71%, Volleyball : 65%, Skateboarding : 61%, Football & Soccer : 56%, Basketball : 53%, Baseball : 53%, Yoga : 52%, Hiking & Trekking : 49%, Social Issues : 48%, Boxing : 48%, Wrestling : 46%, Politics : 45%, Physics : 43%, Health & Medicine : 43%, Traveling : 41%, Motorcycles : 40%, Fashion : 39%, Ice Hockey : 35%, Business and Careers : 34%, American Football : 33%, Tennis : 32%, Surfing : 28%",86,0.6,90,,,,,,,
sehlakuafor,6314,4712,10.373773,40.0,7511,"Art & Design, Collage, Art, Workwear, Decoration, Painting, Lingerie & Intimates, Crafts, Street Art, Hobbies","DIY Projects : 60%, Handicrafts : 57%, Fashion : 55%, Photography : 48%, Theater : 44%, Modeling : 41%, Luxury : 40%, Beauty : 39%, Architecture & Design : 37%, Unboxings : 34%, Traveling : 31%, Film & Television : 31%, Entertainment : 29%, Interior Design : 25%, Property & Real Estate : 25%, Politics : 24%, Social Issues : 24%, Hiking & Trekking : 23%, Dance : 23%, Makeup : 21%, Literature : 20%, Nail Care : 20%",69,0.1,80,,,,,,,
ahmetkucurr,6144,4711,7.950846,40.0,10261,"Music, Singer, Music Tour, Headphones, Theater, Pop Art, Entertainment, Church, Social Clubs","Entertainment : 80%, Theater : 76%, Politics : 67%, Film & Television : 64%, Social Issues : 64%, Music : 56%, Religion : 44%, Dance : 37%, Stand-up Comedy : 27%, Unboxings : 19%",67,0.38,90,,,,,,,
dr.basakcaner,7048,4705,7.1084,45.0,7018,"Love & Intimacy, Political Shows, Hobbies, Romantic Relationships & Dating, Politics, Sales & Marketing, Social Issues, Personal Development, Social Organisations, Shopping & Fashion Travel","Film & Television : 52%, Politics : 48%, Social Issues : 47%, Fashion : 45%, Entertainment : 44%, Unboxings : 43%, Theater : 42%, Beauty : 39%, Luxury : 35%, Parenting & Relationships : 33%, Business and Careers : 30%, Modeling : 30%, Traveling : 28%, Health & Medicine : 27%, Makeup : 26%, DIY Projects : 26%, Dance : 26%, Skincare : 26%, Handicrafts : 23%, Haircare : 23%, Music : 22%, Nail Care : 22%, Meditative Practices : 20%, Religion : 20%, Hiking & Trekking : 20%",69,0.43,90,,,,,,,
phantlower,5374,4695,9.192408,40.0,5504,"Parody & Sketches, Cosplay, Anime, Funny Videos, Movies & TV Shows, Entertainment, Gaming, Gaming Consoles, Movies, Memes","Cosplay : 90%, Film & Television : 90%, Video Gaming : 90%, Entertainment : 87%, Anime, Manga & Comics : 84%, Theater : 46%, Dance : 43%, Technology & Gadgets : 39%, Children's Games & Toys : 35%, Music : 27%, Stand-up Comedy : 24%, Social Issues : 21%",48,0.49,90,,,,,,,
__mulki___,7376,4674,5.633134,45.0,223,"Birds, Wildlife & Nature, Wildlife, Wildlife Photography, Birdwatching, Ecology, Exotic Pets, Forests, Hunting, Hiking & Trekking","Ecology : 95%, Hiking & Trekking : 92%, Outdoor Camping : 86%, Pet Care : 80%, Snowboarding : 62%, Space Exploration : 54%, Traveling : 53%, Yachting & Sailing : 39%, Gardening : 38%, Children's Games & Toys : 31%, Photography : 29%, Social Issues : 28%, Surfing : 28%, Motorcycles : 27%, Film & Television : 25%",68,0.38,80,,,,,,,
